target,run_id,direction,model,year,n,accuracy,auc,hit@60,cov@60
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,ensemble,2021,249,0.9196787148594378,0.2419213973799127,0.9193548387096774,0.9959839357429718
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,ensemble,2022,247,0.8744939271255061,0.7104454685099846,0.9004739336492891,0.854251012145749
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,ensemble,2023,246,0.7682926829268293,0.4907407407407408,0.7980295566502463,0.8252032520325203
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,ensemble,2024,245,0.726530612244898,0.5417073170731708,0.7290322580645161,0.6326530612244898
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,ensemble,2025,243,0.8065843621399177,0.7001564945226917,0.8775510204081632,0.8065843621399177
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,ensemble,2026,86,1.0,,1.0,1.0
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,lgbm,2018,245,0.7510204081632653,0.41846846846846847,0.756198347107438,0.9877551020408163
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,lgbm,2019,247,0.7692307692307693,0.7010152284263961,0.7773109243697479,0.9635627530364372
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,lgbm,2020,249,0.9196787148594378,0.6139737991266375,0.9193548387096774,0.9959839357429718
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,lgbm,2021,249,0.8795180722891566,0.7293759512937595,0.8785425101214575,0.9919678714859438
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,lgbm,2022,247,0.9190283400809717,0.8066079295154186,0.9186991869918699,0.9959514170040485
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,lgbm,2023,246,0.8008130081300813,0.32111650485436893,0.8122270742358079,0.9308943089430894
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,lgbm,2024,245,0.7510204081632653,0.7003603603603604,0.7882882882882883,0.9061224489795918
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,lgbm,2025,243,0.7983539094650206,0.45541871921182264,0.8064516129032258,0.8930041152263375
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,lgbm,2026,86,0.9069767441860465,,0.9722222222222222,0.8372093023255814
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,xgb,2018,245,0.7510204081632653,0.4399099099099099,0.7530864197530864,0.9918367346938776
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,xgb,2019,247,0.757085020242915,0.7255837563451777,0.771551724137931,0.9392712550607287
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,xgb,2020,249,0.9076305220883534,0.7427947598253275,0.9184549356223176,0.9357429718875502
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,xgb,2021,249,0.8594377510040161,0.7794520547945205,0.8744769874476988,0.9598393574297188
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,xgb,2022,247,0.9190283400809717,0.8295154185022027,0.9190283400809717,1.0
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,xgb,2023,246,0.8089430894308943,0.4275485436893204,0.834061135371179,0.9308943089430894
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,xgb,2024,245,0.7673469387755102,0.6958558558558557,0.7990430622009569,0.8530612244897959
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,xgb,2025,243,0.7325102880658436,0.5256157635467981,0.7626262626262627,0.8148148148148148
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,xgb,2026,86,0.8255813953488372,,0.868421052631579,0.8837209302325582
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,rf,2018,245,0.7346938775510204,0.42063063063063066,0.7472527472527473,0.7428571428571429
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,rf,2019,247,0.7611336032388664,0.7194923857868022,0.8671328671328671,0.5789473684210527
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,rf,2020,249,0.8955823293172691,0.5692139737991266,0.9194630872483222,0.5983935742971888
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,rf,2021,249,0.8433734939759037,0.7284627092846271,0.984375,0.5140562248995983
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,rf,2022,247,0.9190283400809717,0.7081497797356828,0.9166666666666666,0.97165991902834
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,rf,2023,246,0.8048780487804879,0.5581310679611651,0.8601398601398601,0.5813008130081301
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,rf,2024,245,0.7918367346938775,0.7685585585585586,0.872093023255814,0.3510204081632653
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,rf,2025,243,0.6337448559670782,0.5536945812807881,0.8679245283018868,0.43621399176954734
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,rf,2026,86,0.8604651162790697,,1.0,0.5348837209302325
