target,run_id,lookback_weeks,forward_weeks,retrain_days,target_thr_bp,regime_strength_min,direction,model,n,pos_rate,accuracy,precision,recall,f1,auc,hit@60,cov@60,hit@70,cov@70,composite,hpo_best_auc,wf_time_s,ensemble_mode
us_spr_2_10,L4W_F2W_R63d_T0bp_S0.0,4,2,63,0.0,0.0,persist,gbm,2180,0.7605504587155963,0.5977064220183487,0.7744202389318342,0.6646562123039808,0.7153521583901331,0.5415233929074867,0.6589379207180255,0.613302752293578,0.7526080476900149,0.30779816513761465,0.7603683971054206,0.5908147629586794,225.72769594192505,
us_spr_2_10,L4W_F2W_R63d_T0bp_S0.0,4,2,63,0.0,0.0,persist,lgbm,2180,0.7605504587155963,0.744954128440367,0.7679961089494164,0.9523522316043426,0.8502961766289715,0.561502571995064,0.7533718689788054,0.9522935779816514,0.762891809908999,0.9073394495412844,0.9643420319034495,0.580861523052901,61.014833211898804,
us_spr_2_10,L4W_F2W_R63d_T0bp_S0.0,4,2,63,0.0,0.0,persist,logreg,2180,0.7605504587155963,0.5573394495412844,0.7959009393680615,0.5621230398069964,0.6588900671615412,0.5547259542725621,0.5602471678681772,0.8908256880733945,0.5635593220338984,0.7577981651376147,0.8315800085150151,0.6281101808771274,4.00180459022522,
us_spr_2_10,L4W_F2W_R63d_T0bp_S0.0,4,2,63,0.0,0.0,persist,rf,2180,0.7605504587155963,0.7522935779816514,0.7721518987341772,0.9565741857659831,0.8545258620689655,0.5754116809709339,0.7816985645933014,0.7669724770642202,0.8023598820058997,0.4665137614678899,0.9203947392411223,0.5798675890364631,31.81908416748047,
us_spr_2_10,L4W_F2W_R63d_T0bp_S0.0,4,2,63,0.0,0.0,persist,xgb,2180,0.7605504587155963,0.7288990825688073,0.7745753988677303,0.9077201447527141,0.8358789225215218,0.5779374586932509,0.7512742099898063,0.9,0.7672168468981218,0.8059633027522936,0.9687080156262103,0.5932338383890285,63.235265254974365,
us_spr_2_10,L4W_F2W_R63d_T10bp_S0.0,4,2,63,10.0,0.0,persist,ensemble,361,0.5955678670360111,0.5069252077562327,0.5767634854771784,0.6465116279069767,0.6096491228070176,0.4521185090793246,0.5087108013937283,0.7950138504155124,0.47342995169082125,0.5734072022160664,0.6349697620587745,,,weighted
us_spr_2_10,L4W_F2W_R63d_T10bp_S0.0,4,2,63,10.0,0.0,persist,et,361,0.5955678670360111,0.5484764542936288,0.6007751937984496,0.7209302325581395,0.6553911205073996,0.49668684294361265,0.609375,0.1772853185595568,,0.00554016620498615,0.5503455323474933,0.5676336259441872,13.94796109199524,
us_spr_2_10,L4W_F2W_R63d_T10bp_S0.0,4,2,63,10.0,0.0,persist,gbm,361,0.5955678670360111,0.4986149584487535,0.5720338983050848,0.627906976744186,0.5986696230598669,0.4369544440904747,0.4825174825174825,0.7922437673130194,0.49137931034482757,0.6426592797783933,0.6039896609450052,0.6932214202955441,77.32102513313293,
us_spr_2_10,L4W_F2W_R63d_T10bp_S0.0,4,2,63,10.0,0.0,persist,lgbm,361,0.5955678670360111,0.49584487534626037,0.5662650602409639,0.6558139534883721,0.6077586206896551,0.44612934055431663,0.5032051282051282,0.8642659279778393,0.5038167938931297,0.7257617728531855,0.6401523501582715,0.6979541447954701,7.859087705612183,
us_spr_2_10,L4W_F2W_R63d_T10bp_S0.0,4,2,63,10.0,0.0,persist,logreg,361,0.5955678670360111,0.47645429362880887,0.5730337078651685,0.4744186046511628,0.5190839694656488,0.48145906339598593,0.48125,0.8864265927977839,0.4965034965034965,0.7922437673130194,0.6868460322685117,0.6567463445764912,0.827709436416626,
us_spr_2_10,L4W_F2W_R63d_T10bp_S0.0,4,2,63,10.0,0.0,persist,rf,361,0.5955678670360111,0.5429362880886427,0.5961538461538461,0.7209302325581395,0.6526315789473685,0.49292768397578846,0.5574712643678161,0.481994459833795,0.6363636363636364,0.09141274238227147,0.6253763968446292,0.5977214331558971,37.067845821380615,
us_spr_2_10,L4W_F2W_R63d_T10bp_S0.0,4,2,63,10.0,0.0,persist,xgb,361,0.5955678670360111,0.4792243767313019,0.5546558704453441,0.6372093023255814,0.5930735930735931,0.44122331952851224,0.4786885245901639,0.8448753462603878,0.4959677419354839,0.6869806094182825,0.6196682077588801,0.6703524283441079,26.598379611968994,
us_spr_2_10,L4W_F4W_R63d_T0bp_S0.0,4,4,63,0.0,0.0,persist,ensemble,2170,0.5972350230414747,0.556221198156682,0.615866388308977,0.6828703703703703,0.6476399560922064,0.5670819560979745,0.583941605839416,0.7576036866359447,0.6082830025884383,0.5341013824884793,0.8179569228509954,,,weighted
