target,horizon,model,n,pos_rate,accuracy,precision,recall,f1,auc,hit@60,cov@60,hit@70,cov@70,composite
spread_ktb_3_10,20,rf,1548,0.5116279069767442,0.5529715762273901,0.5833333333333334,0.44191919191919193,0.5028735632183908,0.5718143738977073,0.5807407407407408,0.436046511627907,0.5779816513761468,0.07041343669250646,0.7166149130242586
spread_ktb_3_10,20,xgb,1548,0.5116279069767442,0.5284237726098191,0.5612648221343873,0.35858585858585856,0.43759630200308164,0.5475238496071829,0.5385252692626347,0.7797157622739018,0.553072625698324,0.5781653746770026,0.7774272748298372
spread_ktb_5_30,10,ensemble,962,0.5083160083160083,0.5124740124740125,0.5241545893719807,0.4437627811860941,0.4806201550387597,0.515609800386516,0.5179407176287052,0.6663201663201663,0.527972027972028,0.2972972972972973,0.6935541389814468
spread_ktb_5_30,10,et,962,0.5083160083160083,0.501039501039501,0.5092402464065708,0.5071574642126789,0.5081967213114754,0.49627535160421454,0.5354330708661418,0.26403326403326405,,0.0,0.5664348607707147
spread_ktb_5_30,10,gbm,962,0.5083160083160083,0.5051975051975052,0.512720156555773,0.5357873210633947,0.524,0.4949999351483158,0.4910394265232975,0.58004158004158,0.5140562248995983,0.2588357588357588,0.6359874426645721
spread_ktb_5_30,10,lgbm,962,0.5083160083160083,0.5197505197505198,0.5283018867924528,0.5153374233128835,0.5217391304347826,0.5156660051794879,0.5163398692810458,0.7952182952182952,0.5108303249097473,0.5758835758835759,0.7273999678051613
spread_ktb_5_30,10,logreg,962,0.5083160083160083,0.5093555093555093,0.5258358662613982,0.3537832310838446,0.4229828850855746,0.5160983497408094,0.5074285714285715,0.9095634095634095,0.5045161290322581,0.8056133056133056,0.7542975880827214
spread_ktb_5_30,10,rf,962,0.5083160083160083,0.501039501039501,0.5082266910420475,0.5685071574642127,0.5366795366795367,0.5039710847957388,0.4979919678714859,0.2588357588357588,1.0,0.005197505197505198,0.5689320146446698
spread_ktb_5_30,10,xgb,962,0.5083160083160083,0.5103950103950103,0.5189873417721519,0.5030674846625767,0.5109034267912772,0.5265048833318201,0.5260989010989011,0.7567567567567568,0.5386221294363257,0.4979209979209979,0.7361216923922017
spread_ktb_5_30,20,ensemble,1548,0.5193798449612403,0.522609819121447,0.5404732254047323,0.5398009950248757,0.5401369010578718,0.5356182795698925,0.535031847133758,0.7099483204134367,0.5330330330330331,0.43023255813953487,0.7390701842127199
